cycle,avg,error,childs
0,649.1262465582582,0,2
1,649.1262465582582,0,3
2,586.4050313189664,125.44243047858379,3
3,586.4050313189664,62.72121523929184,3
4,586.4050313189664,62.72121523929184,3
5,586.4050313189664,31.360607619645975,3
6,586.4050313189664,31.360607619645975,3
7,586.4050313189664,15.68030380982293,3
8,586.4050313189664,15.68030380982293,3
9,586.4050313189664,7.840151904911522,3
10,586.4050313189664,7.840151904911522,3
11,586.4050313189664,3.9200759524557043,3
12,586.4050313189664,3.9200759524557043,3
13,586.4050313189664,1.9600379762277953,3
14,559.8330038240799,107.26812896765955,4
15,559.8330038240799,107.26812896765955,4
16,559.8330038240799,53.634064483829775,4
17,559.8330038240799,53.634064483829775,4
18,559.8330038240799,26.817032241914944,4
19,559.8330038240799,26.817032241915058,4
20,559.8330038240799,26.817032241914944,4
21,559.8330038240799,16.76064515119674,4
22,559.8330038240799,8.380322575598484,4
23,559.8330038240799,8.380322575598484,4
24,559.8330038240799,4.609177416579087,4
25,559.8330038240799,4.609177416579087,4
26,559.8330038240799,2.3045887082895433,4
27,526.0629476060077,202.62033730843382,5
28,526.0629476060077,202.62033730843382,5
29,526.0629476060076,137.38481358057868,5
30,526.0629476060078,119.3474911173978,5
31,526.0629476060078,51.80737868125357,5
32,526.0629476060077,51.80737868125334,5
33,526.0629476060077,34.92235057221717,5
34,526.0629476060077,30.413019956421863,5
35,526.0629476060078,23.937097621265252,5
36,526.0629476060078,23.937097621265252,5
37,526.0629476060078,23.937097621265252,5
38,526.0629476060078,17.461175286108414,5
39,526.0629476060077,17.461175286108755,5
40,526.0629476060077,13.74645057544899,5
41,526.0629476060077,13.746450575448875,5
42,526.0629476060077,6.873225287724381,5
43,526.0629476060077,6.873225287724381,5
44,526.0629476060077,6.873225287724381,5
45,526.0629476060077,5.452896180219227,5
46,526.0629476060077,3.5856012510753317,5
47,526.0629476060077,3.1560246705923873,6
48,592.4707067734979,531.906438210646,6
49,592.4707067734979,531.906438210646,6
50,592.4707067734979,531.906438210646,6
51,592.4707067734979,398.35561078057765,6
52,592.4707067734979,265.1105158651143,6
53,592.4707067734978,265.1105158651146,6
54,592.4707067734978,198.8328868988359,6
55,592.4707067734978,165.19628766694132,6
56,592.4707067734978,148.83755623542356,6
57,592.4707067734978,132.4788248039058,6
58,592.4707067734979,123.83989090371733,6
59,592.4707067734979,123.83989090371733,6
60,592.4707067734979,76.3105109362183,6
61,592.4707067734979,76.31051093621818,6
62,592.4707067734979,47.529379967498926,6
63,592.4707067734979,47.529379967498926,6
64,592.4707067734979,44.377384605000316,6
65,592.4707067734979,35.73845070481161,6
66,592.4707067734979,35.73845070481161,6
67,592.4707067734979,35.73845070481161,6
68,592.4707067734979,28.96357150365577,6
69,592.4707067734979,27.695130045791302,6
70,592.470706773498,22.465067334632295,6
71,592.470706773498,22.465067334632295,6
72,592.470706773498,22.465067334632295,6
73,592.470706773498,22.465067334632295,6
74,592.4707067734979,22.46506733463241,6
75,592.4707067734979,22.46506733463241,6
76,592.4707067734979,22.46506733463241,6
77,592.4707067734979,13.98575253896172,6
78,592.4707067734979,8.369485705303532,6
79,592.4707067734979,8.369485705303532,6
80,592.4707067734979,8.369485705303646,6
81,592.4707067734979,8.369485705303646,6
82,592.4707067734979,8.369485705303646,6
83,592.4707067734979,8.369485705303646,6
84,592.4707067734979,8.369485705303532,6
85,592.4707067734979,6.366584527790565,6
86,592.4707067734979,6.366584527790565,6
87,592.4707067734979,4.184742852651766,6
88,592.4707067734979,3.09382201508231,6
89,592.4707067734979,3.09382201508231,7
90,592.470706773498,1.0909208375692288,7
91,644.5195113722308,519.9425855685432,7
92,644.5195113722308,519.9425855685432,7
93,644.5195113722308,416.0729714560633,7
94,644.5195113722308,416.0729714560633,7
95,644.5195113722309,311.8166295916982,7
96,644.5195113722308,233.76579025580259,7
97,644.5195113722306,201.3884281579426,7
98,644.5195113722306,201.3884281579426,7
99,644.5195113722306,201.3884281579426,7
100,644.5195113722308,188.28567689370846,7
101,644.5195113722308,155.90831479584915,7
102,644.5195113722306,120.20692391294517,7
103,644.5195113722306,120.20692391294517,7
104,644.5195113722306,107.17488117990001,7
105,644.5195113722308,107.17488117989978,7
106,644.5195113722308,86.04849792238952,7
107,644.5195113722308,82.00132766015713,7
108,644.5195113722308,81.79357586109177,7
109,644.5195113722308,81.79357586109177,7
110,644.5195113722308,81.79357586109188,7
111,644.5195113722308,81.79357586109188,7
